generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_cancer_test/1/20251105-195654,nan,nan,0.7328646748681898,0.07557117750439367,0.4997715289982426,0.6101933216168718,1_19,1_39,0.7056277056277056,0.06926406926406926,0.49999999999999994,0.5458874458874459,1_19,1_39,0.7514792899408284,0.07988165680473373,0.4995266272189348,0.6532544378698224,1_19,1_39,0.7952755689620972,0.16010499000549316,0.5014435687661171,0.5643044590950013,1_19,1_36
2,uci_cancer_test/2/20251105-195700,nan,nan,0.859402460456942,0.37258347978910367,0.571177504393673,0.695079086115993,2_11,2_60,0.8181818181818182,0.45021645021645024,0.5322077922077922,0.6593073593073593,2_27,2_42,0.8875739644970414,0.27218934911242604,0.5977218934911243,0.7195266272189349,2_11,2_60,0.8136482834815979,0.45406824350357056,0.5391338574886322,0.6601049840450287,2_27,2_42
3,uci_cancer_test/3/20251105-195708,nan,nan,0.859402460456942,0.2478031634446397,0.5957644991212654,0.7757469244288225,3_63,2_60,0.8181818181818182,0.3246753246753247,0.5953679653679653,0.745021645021645,3_63,2_42,0.8875739644970414,0.1952662721893491,0.5960355029585799,0.7967455621301774,3_63,2_60,0.8136482834815979,0.3963254690170288,0.5978477701544762,0.7556430459022522,3_45,2_42
4,uci_cancer_test/4/20251105-195716,nan,nan,0.8629173989455184,0.2478031634446397,0.7053075571177504,0.8295254833040422,4_88,4_35,0.8181818181818182,0.3246753246753247,0.6804761904761907,0.8164502164502165,4_88,2_42,0.893491124260355,0.1952662721893491,0.7222781065088759,0.8384615384615385,4_88,4_35,0.8136482834815979,0.3963254690170288,0.6999475091695786,0.8118110179901123,4_88,2_42
5,uci_cancer_test/5/20251105-195725,nan,nan,0.8629173989455184,0.36731107205623903,0.7380492091388401,0.8311072056239016,5_16,4_74,0.8398268398268398,0.4805194805194805,0.7412554112554112,0.8181818181818181,5_12,5_26,0.893491124260355,0.27218934911242604,0.7358579881656806,0.8399408284023668,5_11,4_74,0.8136482834815979,0.4881889820098877,0.7354068201780319,0.8136482834815979,5_11,2_42
6,uci_cancer_test/6/20251105-195731,nan,nan,0.8646748681898067,0.37258347978910367,0.754007029876977,0.8186291739894551,6_12,6_19,0.8398268398268398,0.4805194805194805,0.7529004329004327,0.8181818181818181,6_24,6_90,0.893491124260355,0.27218934911242604,0.7547633136094675,0.8189349112426036,6_12,5_38,0.8136482834815979,0.4881889820098877,0.7478477618098259,0.8136482834815979,6_12,2_42
7,uci_cancer_test/7/20251105-195737,nan,nan,0.8629173989455184,0.37258347978910367,0.7426010544815466,0.8282952548330405,7_16,6_34,0.8181818181818182,0.4805194805194805,0.7410389610389609,0.8181818181818181,7_15,2_42,0.893491124260355,0.27218934911242604,0.7436686390532544,0.8352071005917161,7_16,6_34,0.8136482834815979,0.4881889820098877,0.7346194159984588,0.8136482834815979,7_16,2_42
8,uci_cancer_test/8/20251105-195743,nan,nan,0.8629173989455184,0.36906854130052724,0.7458699472759227,0.8346221441124781,8_83,7_35,0.8528138528138528,0.4805194805194805,0.7454545454545455,0.8207792207792208,8_12,8_55,0.893491124260355,0.2692307692307692,0.7461538461538463,0.8440828402366863,8_83,7_35,0.8188976645469666,0.4881889820098877,0.7383989453315735,0.8141732215881348,8_16,8_30
9,uci_cancer_test/9/20251105-195750,nan,nan,0.875219683655536,0.37258347978910367,0.762091388400703,0.8309314586994727,9_23,9_62,0.8441558441558441,0.4805194805194805,0.7638095238095238,0.8233766233766234,9_16,8_30,0.8964497041420119,0.27218934911242604,0.7609171597633138,0.836094674556213,9_23,9_62,0.8188976645469666,0.4881889820098877,0.7585301798582077,0.8146981596946716,9_23,8_30
10,uci_cancer_test/10/20251105-195756,nan,nan,0.875219683655536,0.37258347978910367,0.7569068541300525,0.8309314586994729,10_21,10_59,0.8441558441558441,0.4805194805194805,0.7647186147186147,0.8233766233766234,10_14,8_30,0.8964497041420119,0.27218934911242604,0.7515680473372782,0.836094674556213,10_21,10_59,0.8188976645469666,0.4881889820098877,0.7564041966199875,0.8146981596946716,10_21,8_30
11,uci_cancer_test/11/20251105-195803,nan,nan,0.8629173989455184,0.37258347978910367,0.7653602811950792,0.824780316344464,11_12,9_25,0.8441558441558441,0.4805194805194805,0.7660173160173162,0.8415584415584416,11_38,8_30,0.893491124260355,0.27218934911242604,0.7649112426035505,0.8133136094674557,11_12,9_25,0.8188976645469666,0.4881889820098877,0.7603674548864364,0.8183727264404297,11_12,8_30
12,uci_cancer_test/12/20251105-195810,nan,nan,0.875219683655536,0.37258347978910367,0.7776977152899823,0.8358523725834799,12_22,12_30,0.8441558441558441,0.5194805194805194,0.7944155844155847,0.8441558441558442,12_22,8_30,0.8964497041420119,0.27218934911242604,0.7662721893491126,0.8301775147928995,12_22,12_30,0.8188976645469666,0.4881889820098877,0.7798950272798538,0.8188976645469666,12_22,8_30
13,uci_cancer_test/13/20251105-195819,nan,nan,0.875219683655536,0.351493848857645,0.7676274165202108,0.8358523725834799,13_52,12_31,0.8441558441558441,0.48484848484848486,0.7894372294372297,0.8441558441558442,13_52,8_30,0.8964497041420119,0.2603550295857988,0.7527218934911244,0.8301775147928995,13_52,12_31,0.8188976645469666,0.4881889820098877,0.7703149747848511,0.8188976645469666,13_25,8_30
14,uci_cancer_test/14/20251105-195827,nan,nan,0.875219683655536,0.37258347978910367,0.7772407732864675,0.8309314586994727,14_13,13_43,0.8441558441558441,0.5194805194805194,0.797748917748918,0.8441558441558442,14_13,8_30,0.8964497041420119,0.27218934911242604,0.7632248520710059,0.8218934911242604,14_13,13_43,0.8188976645469666,0.4881889820098877,0.7779790198802948,0.8188976645469666,14_13,8_30
15,uci_cancer_test/15/20251105-195835,nan,nan,0.875219683655536,0.37258347978910367,0.7455536028119505,0.840773286467487,15_15,14_34,0.8441558441558441,0.5194805194805194,0.77008658008658,0.8441558441558442,15_15,8_30,0.8964497041420119,0.27218934911242604,0.7287869822485209,0.8384615384615385,15_15,14_34,0.8188976645469666,0.4881889820098877,0.7491338729858399,0.8188976645469666,15_15,8_30
